,dataset,subsample_n,method,val_nll,val_accuracy,test_nll,test_accuracy,data_seed
0,cc18_1,-1,ag-bagging,0.4524345904172243,0.8066666666666666,0.4926131469369685,0.7933333333333333,6
1,cc18_14,-1,ag-bagging,0.0033390830114288,1.0,0.0082223387618294,0.9975,12
2,cc18_19,-1,ag-bagging,0.0111463111970518,1.0,0.01880816485367,0.99375,12
3,cc18_14,-1,ag-bagging,0.0472838911323383,1.0,0.0522697182899963,1.0,10
4,cc18_10,-1,ag-bagging,0.0986818517567702,0.9714285714285714,0.0846266330399152,0.9785714285714284,9
5,cc18_0,-1,ag-bagging,8.831107869105223e-06,1.0,0.0012361847769619,1.0,5
6,cc18_3,-1,ag-bagging,0.6019124427308367,0.67,0.7147881356429916,0.53,9
7,cc18_28,-1,ag-bagging,0.0034972862039736,1.0,0.0041584073593997,1.0,11
8,cc18_11,-1,ag-bagging,0.0012599228753547,1.0,0.0044279960945777,1.0,9
9,cc18_16,-1,ag-bagging,0.1749305505279461,0.9492753623188406,0.1098262870763519,0.9710144927536232,9
10,cc18_0,-1,ag-bagging,2.3197295290510385e-07,1.0,0.0068206640415598,0.9963636363636365,11
11,cc18_17,-1,ag-bagging,0.5000613984253431,0.765,0.5294359002343635,0.72,12
12,cc18_8,-1,ag-bagging,0.0352377999798643,0.9884393063583816,0.0410002326956411,0.9913294797687862,11
13,cc18_23,-1,ag-bagging,0.0021023284848769,1.0,0.0053462840709271,1.0,7
14,cc18_6,-1,ag-bagging,0.0453811067839653,1.0,0.0454450798181187,1.0,8
15,cc18_23,-1,ag-bagging,0.0638664875041027,0.9809523809523808,0.0156440082499175,1.0,5
16,cc18_7,-1,ag-bagging,0.1606325921014534,0.9351851851851852,0.1506879265337067,0.9444444444444444,14
17,cc18_22,-1,ag-bagging,0.1783068222409669,0.9297124600638976,0.3020310831846147,0.865814696485623,5
18,cc18_18,-1,ag-bagging,0.0013883098892331,1.0,0.0056958239701606,1.0,5
19,cc18_0,-1,ag-bagging,1.957935847460878e-06,1.0,0.0027059821844908,1.0,9
20,cc18_5,-1,ag-bagging,0.0452942170967544,1.0,0.0457250127008318,1.0,8
21,cc18_26,-1,ag-bagging,0.4131511722566921,0.7988165680473372,0.4302474110290804,0.7764705882352941,13
22,cc18_22,-1,ag-bagging,0.169143868540399,0.9361022364217252,0.2806327428478047,0.8881789137380192,13
23,cc18_26,-1,ag-bagging,0.4252627960353821,0.7869822485207101,0.4708764659873646,0.7941176470588235,9
24,cc18_25,-1,ag-bagging,2.472326659945754e-07,1.0,4.098194450118602e-07,1.0,9
25,cc18_27,-1,ag-bagging,0.0019064730910117,1.0,0.2233611760612796,0.9649122807017544,12
26,cc18_12,-1,ag-bagging,0.0124038294733665,0.995,0.0094316336742632,1.0,12
27,cc18_20,-1,ag-bagging,0.4662293167450296,0.7467532467532467,0.4902951071381045,0.7272727272727273,10
28,cc18_8,-1,ag-bagging,0.074215684358687,0.9710982658959536,0.0660089715260264,0.9710982658959536,12
29,cc18_4,-1,ag-bagging,0.0048984181436071,1.0,0.0068762840885185,0.9975,9
30,cc18_20,-1,ag-bagging,0.4358583263133472,0.8051948051948052,0.49282461918386,0.7207792207792207,14
31,cc18_10,-1,ag-bagging,0.0316221055495392,0.9928571428571428,0.0818788841101972,0.9642857142857144,11
32,cc18_8,-1,ag-bagging,0.0783328677183268,0.9710982658959536,0.0541927071441898,0.9797687861271676,14
33,cc18_10,-1,ag-bagging,0.0998539464997942,0.9785714285714284,0.074215253557841,0.9714285714285714,12
34,cc18_1,-1,ag-bagging,0.5057553095559361,0.7733333333333333,0.4575835038164974,0.8,11
35,cc18_20,-1,ag-bagging,0.4759571978720817,0.7727272727272727,0.4925013086469488,0.7727272727272727,13
36,cc18_2,-1,ag-bagging,0.0578424370529793,0.984,0.0820274633940747,0.952,10
37,cc18_1,-1,ag-bagging,0.4503427202202606,0.7933333333333333,0.5218184393570353,0.7533333333333333,7
38,cc18_4,-1,ag-bagging,0.0079670475351457,1.0,0.0095353183250512,0.9975,10
39,cc18_29,-1,ag-bagging,0.5004807438829216,0.7692307692307693,0.5224613049487066,0.7094017094017094,13
40,cc18_5,-1,ag-bagging,0.045369736437372,1.0,0.0461275753621164,1.0,6
41,cc18_23,-1,ag-bagging,0.0343213460223096,1.0,0.0772512079309564,0.9809523809523808,14
42,cc18_25,-1,ag-bagging,2.2906452337697658e-07,1.0,0.0001055116018319,1.0,8
