,dataset,subsample_n,method,val_nll,val_accuracy,test_nll,test_accuracy,ipb_N_each,ipb_N_ratio,data_seed
0,cc18_14,-1,tree,0.0219652363172159,0.9925,0.0307585084715406,0.99,1.0,1.0,5
1,cc18_25,-1,ipb,0.0016240806028902,1.0,0.0011995368314069,1.0,0.25,1.0,6
2,cc18_8,-1,ipb,0.0510747576417522,0.9855491329479767,0.0333948963155915,0.9855491329479767,1.0,1.0,9
3,cc18_4,-1,ipb,0.0165348415069504,0.9975,0.0119912164899545,0.9975,1.0,1.0,11
4,cc18_0,-1,ipb,0.0014188665176803,1.0,0.0020055967173445,1.0,0.125,1.0,7
5,cc18_13,-1,tree,0.9641440118795168,0.5986394557823129,0.8573902594699173,0.6554054054054054,1.0,1.0,9
6,cc18_29,-1,tree,0.6199883825373314,0.6153846153846154,0.5992848350998141,0.6752136752136753,1.0,1.0,5
7,cc18_22,-1,tree,0.2046334415096156,0.9169329073482428,0.3297449823746529,0.865814696485623,1.0,1.0,5
8,cc18_2,-1,bagging,0.402519647962254,0.888,0.3503389285270828,0.904,1.0,1.0,10
9,cc18_13,-1,ipb,0.7915555270428396,0.6870748299319728,0.8713058411588147,0.6013513513513513,0.25,1.0,10
10,cc18_20,-1,bagging,0.5460196643324187,0.7272727272727273,0.5140668486128973,0.7012987012987013,1.0,1.0,11
11,cc18_26,-1,tree,0.5520912057879497,0.7692307692307693,0.5718684312271175,0.7294117647058823,1.0,1.0,5
12,cc18_24,-1,tree,0.0009066932621323,1.0,0.0010382426740916,1.0,1.0,1.0,14
13,cc18_18,-1,ipb,0.006153563898646,1.0,0.0116364950340506,1.0,0.25,1.0,10
14,cc18_23,-1,ipb,0.0461476903843393,0.9904761904761904,0.0589138743253011,0.9714285714285714,1.0,1.0,10
15,cc18_3,-1,tree,0.6595306481200716,0.64,0.7076099984890064,0.56,1.0,1.0,6
16,cc18_21,-1,ipb,0.2115298973970439,0.8835616438356164,0.1918522550870516,0.8972602739726028,0.125,1.0,6
17,cc18_3,-1,bagging,0.6512118476388096,0.68,0.6541637185377907,0.63,1.0,1.0,7
18,cc18_23,-1,ipb,0.0046693820847267,1.0,0.0244404125074013,0.9904761904761904,0.125,1.0,12
19,cc18_20,-1,tree,0.5206554431014662,0.7402597402597403,0.5283143285404628,0.7337662337662337,1.0,1.0,13
20,cc18_6,-1,ipb,0.0178437997110848,0.9948453608247424,0.0148921403171475,0.9974293059125964,0.25,1.0,7
21,cc18_24,-1,ipb,0.0008935137351,1.0,0.0266994080227416,0.9954954954954957,0.125,1.0,6
22,cc18_8,-1,ipb,0.0673584331389214,0.9855491329479767,0.0482341211126261,0.9884393063583816,1.0,1.0,7
23,cc18_4,-1,bagging,0.0272198407130249,0.9925,0.0345897576017855,0.9925,1.0,1.0,10
24,cc18_5,-1,bagging,0.0223975261862419,0.9953703703703703,0.0222595372090963,0.9953703703703703,1.0,1.0,5
25,cc18_4,-1,bagging,0.0232117715762496,0.9975,0.03952399949222,0.9925,1.0,1.0,6
26,cc18_28,-1,ipb,0.0074876023214065,0.995260663507109,0.0067028899394571,1.0,0.125,1.0,14
27,cc18_8,-1,ipb,0.0660834818584489,0.9739884393063584,0.0484708275422348,0.9826589595375722,0.25,1.0,14
28,cc18_27,-1,ipb,0.0117687774850116,0.9912280701754386,0.1351396088135895,0.956140350877193,1.0,1.0,13
29,cc18_21,-1,ipb,0.2261317992403772,0.9006849315068494,0.1607448061021007,0.934931506849315,0.125,1.0,8
30,cc18_12,-1,bagging,0.0229204463124804,1.0,0.0215945377861096,0.995,1.0,1.0,9
31,cc18_27,-1,tree,0.2200831383417677,0.9210526315789472,0.2235351881303119,0.912280701754386,1.0,1.0,6
32,cc18_8,-1,tree,0.0656771694970813,0.9797687861271676,0.0446142398646607,0.9797687861271676,1.0,1.0,11
33,cc18_24,-1,tree,0.0012693705068433,1.0,0.0434138228548224,0.990990990990991,1.0,1.0,8
34,cc18_5,-1,ipb,0.0116950450482501,1.0,0.0123682489711391,1.0,1.0,1.0,6
35,cc18_2,-1,ipb,0.3852213649408121,0.888,0.3555779569527845,0.888,0.25,1.0,11
36,cc18_24,-1,ipb,0.0016759852023012,1.0,0.0010713918037595,1.0,0.25,1.0,5
37,cc18_1,-1,ipb,0.4875480246512315,0.78,0.471768007167315,0.8066666666666666,1.0,1.0,14
38,cc18_4,-1,bagging,0.0252879937257206,0.995,0.0231673792853141,0.9925,1.0,1.0,7
39,cc18_6,-1,ipb,0.0370570249078773,0.9871134020618556,0.0268600501138655,0.9948586118251928,0.25,1.0,12
40,cc18_29,-1,ipb,0.5309426333198902,0.6923076923076923,0.5497264514077548,0.6923076923076923,0.125,1.0,10
41,cc18_22,-1,ipb,0.1975463039586603,0.9297124600638976,0.3057619363634414,0.865814696485623,0.125,1.0,5
42,cc18_5,-1,tree,0.048177978712973,0.9907407407407408,0.0399198698460909,0.9953703703703703,1.0,1.0,5
43,cc18_10,-1,ipb,0.0719757503520267,0.9785714285714284,0.17931756937284,0.9428571428571428,0.125,1.0,5
44,cc18_7,-1,ipb,0.1994758693625359,0.925925925925926,0.139560008028936,0.9629629629629628,0.25,1.0,6
45,cc18_23,-1,tree,0.0032455639533754,1.0,0.0221954120129301,0.9904761904761904,1.0,1.0,12
46,cc18_3,-1,ipb,0.6514393393067043,0.61,0.687407383540561,0.64,0.25,1.0,12
47,cc18_4,-1,ipb,0.0143926510974387,0.995,0.0153914830489763,0.9975,1.0,1.0,9
48,cc18_23,-1,tree,0.0434798012638669,0.9809523809523808,0.006289193822392,1.0,1.0,1.0,5
49,cc18_28,-1,bagging,0.0093679792026422,1.0,0.0277068094620389,0.990521327014218,1.0,1.0,10
